FOE_Grattan,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Science,"359,315","374,041","418,012","424,060","437,784","438,842","443,620","458,737","461,136","449,912","439,072","425,354","372,955","381,767","392,044","402,392","401,026","401,583","408,565","416,043","450,653","496,330","535,660","588,269","632,135","673,621","691,991","12,374,919"
IT,"93,955","112,138","133,027","138,609","131,056","137,009","142,778","156,933","176,076","193,602","228,958","270,947","378,537","411,681","393,945","359,079","318,195","263,079","242,680","240,578","257,979","260,092","262,714","252,578","265,333","291,341","309,152","6,422,051"
Engineering,"397,217","409,533","464,582","484,763","504,960","509,549","503,036","497,629","495,584","485,424","476,295","449,333","428,349","431,769","447,267","439,310","425,627","430,912","454,941","472,564","520,249","561,059","576,798","583,236","612,001","637,251","665,552","13,364,790"
Architecture,"80,230","88,302","99,296","97,835","96,860","106,012","106,229","111,953","110,669","111,718","102,810","105,383","108,260","108,694","110,983","109,978","112,949","119,096","129,069","139,136","151,726","159,467","163,769","167,189","165,506","160,699","169,403","3,293,221"
Agriculture,"73,271","81,814","89,559","85,734","89,224","88,676","86,354","83,221","78,733","73,175","69,963","60,877","106,786","105,627","106,682","105,509","92,572","85,570","82,705","86,126","91,876","99,576","101,141","101,594","105,237","104,038","103,764","2,439,404"
Other health,"143,085","158,409","169,339","170,474","177,166","187,400","197,270","219,221","234,005","245,324","242,319","252,639","273,770","286,948","302,233","312,576","325,135","352,616","387,664","410,601","430,861","465,021","495,462","558,470","597,659","638,343","689,046","8,923,056"
Medical,"187,443","165,004","175,069","189,282","192,711","183,338","175,331","172,370","172,040","175,568","175,140","177,266","149,994","144,341","141,492","136,366","135,740","143,050","143,321","154,239","163,978","181,252","210,542","236,920","280,230","231,346","336,750","4,930,123"
Nursing,"216,338","250,814","291,273","291,543","286,743","252,219","239,743","220,280","202,122","202,815","196,090","193,397","192,656","201,342","202,995","203,890","217,746","242,028","270,211","289,280","315,291","345,628","358,067","376,976","392,636","423,177","447,057","7,322,357"
Education,"638,241","631,550","669,686","625,455","535,807","510,200","478,956","472,185","460,559","463,465","479,402","487,409","503,565","531,971","536,910","548,193","545,695","551,900","558,250","550,761","566,885","598,672","617,833","645,371","663,675","691,722","676,667","15,240,985"
Commerce,"624,558","702,624","758,220","764,248","758,833","754,587","812,590","901,971","985,278","1,043,334","1,078,286","1,117,343","1,123,668","1,208,627","1,301,249","1,353,877","1,397,181","1,463,996","1,593,057","1,704,875","1,829,966","1,904,693","1,879,338","1,844,360","1,860,087","1,930,632","2,000,691","34,698,169"
Humanities,"549,180","571,056","638,062","621,679","632,364","653,255","682,156","728,717","769,295","771,857","774,767","792,162","813,944","867,724","886,064","880,308","903,276","932,289","956,466","989,704","1,069,134","1,165,382","1,201,838","1,275,236","1,325,824","1,350,029","1,367,381","24,169,149"
Law,"74,190","87,764","98,470","105,562","113,580","112,965","125,635","131,136","135,077","142,983","147,857","140,517","156,332","162,561","168,831","178,818","175,570","182,528","189,674","199,016","223,051","219,411","223,982","232,505","240,962","255,773","264,483","4,489,233"
Creative arts,"114,657","128,172","148,887","150,711","151,342","155,102","163,442","167,026","178,373","178,631","177,543","185,160","178,781","190,843","193,553","189,596","186,713","201,937","227,546","236,277","257,983","277,939","292,247","296,324","304,632","308,080","289,276","5,530,773"
Hospitality,0,0,0,0,0,0,0,0,0,0,0,0,"1,001",987,597,244,592,569,"2,934","4,523","6,437","6,309","5,057","1,463","1,547","1,700","2,243","36,203"
Mixed field,0,0,0,0,0,0,0,0,0,0,0,0,"14,192","9,537","13,009","12,075","9,721","10,899","15,652","22,353","30,716","36,353","41,485","44,359","53,689","57,684","53,537","425,261"
Total,"3,551,680","3,761,221","4,153,482","4,149,955","4,108,430","4,089,154","4,157,140","4,321,379","4,458,947","4,537,808","4,588,502","4,657,787","4,802,790","5,044,419","5,197,854","5,232,211","5,247,738","5,382,052","5,662,735","5,916,076","6,366,785","6,777,184","6,965,933","7,204,850","7,501,153","7,755,436","8,066,993","143,659,694"
