foe,year,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1989,359315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1989,93955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1989,397217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1989,80230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1989,73271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1989,143085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1989,187443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1989,216338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1989,638241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1989,624558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1989,549180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1989,74190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1989,114657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1989,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1989,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1990,374041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1990,112138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1990,409533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1990,88302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1990,81814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1990,158409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1990,165004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1990,250814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1990,631550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1990,702624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1990,571056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1990,87764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1990,128172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1990,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1990,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1991,418012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1991,133027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1991,464582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1991,99296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1991,89559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1991,169339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1991,175069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1991,291273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1991,669686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1991,758220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1991,638062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1991,98470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1991,148887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1991,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1991,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1992,424060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1992,138609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1992,484763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1992,97835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1992,85734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1992,170474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1992,189282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1992,291543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1992,625455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1992,764248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1992,621679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1992,105562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1992,150711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1992,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1992,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1993,437784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1993,131056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1993,504960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1993,96860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1993,89224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1993,177166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1993,192711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1993,286743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1993,535807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1993,758833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1993,632364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1993,113580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1993,151342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1993,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1993,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1994,438842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1994,137009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1994,509549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1994,106012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1994,88676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1994,187400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1994,183338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1994,252219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1994,510200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1994,754587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1994,653255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1994,112965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1994,155102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1994,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1994,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1995,443620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1995,142778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1995,503036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1995,106229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1995,86354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1995,197270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1995,175331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1995,239743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
